step 0, loss 0.8543756008148193
step 93, loss 0.22594640721795384
step 94, loss 0.21979146364257418
step 95, loss 0.22031170275442913
step 96, loss 0.216877667426763
step 97, loss 0.20556274129721347
step 98, loss 0.19974718755876564
step 99, loss 0.19660530030484982
step 100, loss 0.1963736165144085
step 101, loss 0.19662641423148267
step 102, loss 0.1919220680344315
step 103, loss 0.213020860643525
step 104, loss 0.21171824588597335
step 105, loss 0.2050674687703298
step 106, loss 0.2018754793000084
step 107, loss 0.20181218947099405
step 108, loss 0.20436213164144837
step 109, loss 0.20658087803674413
step 110, loss 0.20590715474265225
step 111, loss 0.20336844950655766
step 112, loss 0.20960674670105875
step 113, loss 0.2002793281087193
step 114, loss 0.19454950798829612
step 115, loss 0.194186459862711
step 116, loss 0.18578884680586036
step 117, loss 0.18566600989863555
step 118, loss 0.1862756700357671
step 119, loss 0.18347129443653304
step 120, loss 0.18755166726739297
step 121, loss 0.18436398354856154
step 122, loss 0.18912328256089672
step 123, loss 0.20120557522403468
step 124, loss 0.20219772495890204
step 125, loss 0.20910394285378944
step 126, loss 0.2004328087948986
step 127, loss 0.2000250249490048
step 128, loss 0.1961427595661496
step 129, loss 0.1976133286756052
step 130, loss 0.18922191782013537
step 131, loss 0.18066884136095013
step 132, loss 0.1772281785836312
step 133, loss 0.18752433002267715
step 134, loss 0.19179159826285636
step 135, loss 0.20053629362207948
step 136, loss 0.2160398776855078
step 137, loss 0.20849823792511285
step 138, loss 0.20310026114941296
step 139, loss 0.19571707134628885
step 140, loss 0.19649734483824308
step 141, loss 0.19477188634871961
step 142, loss 0.1953668196320491
step 143, loss 0.19070550942301367
step 144, loss 0.1892223222006525
step 145, loss 0.19293587770603585
step 146, loss 0.18138177722581464
step 147, loss 0.17531796944041464
step 148, loss 0.17723345296292972
step 149, loss 0.16648429888525135
step 150, loss 0.16218087084327812
step 151, loss 0.16457998759062298
step 152, loss 0.15648610597709903
step 153, loss 0.15462207084173044
step 154, loss 0.15762456165499164
step 155, loss 0.1576337820894719
step 156, loss 0.15024277850453863
step 157, loss 0.15090578452764283
step 158, loss 0.1503980784656256
step 159, loss 0.15780315211787668
step 160, loss 0.15853361110128328
step 161, loss 0.16146621245358017
step 162, loss 0.167714236422303
step 163, loss 0.17432997516744375
step 164, loss 0.1807963033791158
step 165, loss 0.18569250079474808
step 166, loss 0.18823523228599395
step 167, loss 0.1918640232554117
step 168, loss 0.18690933702627174
step 169, loss 0.18442656622743028
step 170, loss 0.19309009933247046
step 171, loss 0.1898118346074868
step 172, loss 0.19301739237961013
step 173, loss 0.20115619214406766
step 174, loss 0.20752366762189112
step 175, loss 0.20725427461410798
step 176, loss 0.20541741901110325
step 177, loss 0.206458645643032
step 178, loss 0.20892599902859607
step 179, loss 0.20491505428234885
step 180, loss 0.20271619645428793
step 181, loss 0.20290320057575825
step 182, loss 0.19602451865886084
step 183, loss 0.1963505325765708
step 184, loss 0.1954642604039281
step 185, loss 0.20324143203313672
step 186, loss 0.2049545207519727
step 187, loss 0.20740758558208322
step 188, loss 0.20520323675955454
step 189, loss 0.19605354141073036
step 190, loss 0.20248860720583745
step 191, loss 0.2050067970495428
step 192, loss 0.2012660389549439
step 193, loss 0.1987537043160413
step 194, loss 0.20304280193444024
step 195, loss 0.19895034436997114
step 196, loss 0.19566882018401927
step 197, loss 0.19548133937258755
step 198, loss 0.18936273987060104
step 199, loss 0.19171891988782866
step 200, loss 0.18955004258276925
step 201, loss 0.18822630682577407
step 202, loss 0.19918356632283077
step 203, loss 0.19259504790685247
step 204, loss 0.19675117119176688
step 205, loss 0.19325426415226016
step 206, loss 0.19260004933733782
step 207, loss 0.18450903841309882
step 208, loss 0.18661774052786653
step 209, loss 0.1926806719923719
step 210, loss 0.20382428930622676
step 211, loss 0.21084517627736038
step 212, loss 0.20582170536917543
step 213, loss 0.20868345574261632
step 214, loss 0.21052556612242956
step 215, loss 0.21120440999999374
step 216, loss 0.21707993483842666
step 217, loss 0.207141341891598
step 218, loss 0.20286281000975784
step 219, loss 0.20970010839167846
step 220, loss 0.22384180500147
step 221, loss 0.2217648584309571
step 222, loss 0.21566631871432243
step 223, loss 0.20649384240481417
step 224, loss 0.20866857123529758
step 225, loss 0.20135537223955255
step 226, loss 0.19765292796737188
step 227, loss 0.20001142942827554
step 228, loss 0.1991975774519588
step 229, loss 0.19919488461192952
step 230, loss 0.2106795158807323
step 231, loss 0.21960957468961648
step 232, loss 0.22414668459965265
step 233, loss 0.21586550974196322
step 234, loss 0.21678386959444995
step 235, loss 0.2101587921352224
step 236, loss 0.2071089211080405
step 237, loss 0.1939403098500311
step 238, loss 0.1912568984934574
step 239, loss 0.18631835089703372
step 240, loss 0.19510071551722263
step 241, loss 0.19292547174622393
step 242, loss 0.18937213154133956
step 243, loss 0.19299781410244227
step 244, loss 0.1941186912806075
step 245, loss 0.1848360213295735
step 246, loss 0.1846538212289915
step 247, loss 0.18478307661925306
step 248, loss 0.19501420442027942
step 249, loss 0.1925177253821173
step 250, loss 0.19009464927363504
step 251, loss 0.18984334720237353
step 252, loss 0.18385861414429513
step 253, loss 0.18462810901782184
step 254, loss 0.18637500692589226
step 255, loss 0.18624609550103377
step 256, loss 0.18298341340063362
step 257, loss 0.1863029882869573
step 258, loss 0.19286018778933153
step 259, loss 0.19238324764418363
step 260, loss 0.19001699956996226
step 261, loss 0.18259437283345745
step 262, loss 0.1823528534215869
step 263, loss 0.17778494888921217
step 264, loss 0.181805379102048
step 265, loss 0.19506465218313043
step 266, loss 0.1890101521180347
step 267, loss 0.19455520859059175
step 268, loss 0.1985722024801059
step 269, loss 0.21217657383346708
step 270, loss 0.2082177870517744
step 271, loss 0.20508088973573807
step 272, loss 0.20450680828760828
step 273, loss 0.20373335370425075
step 274, loss 0.2023925041169258
step 275, loss 0.20229356333705772
step 276, loss 0.2180661962487667
step 277, loss 0.21552219147011958
step 278, loss 0.21156772811286442
step 279, loss 0.2192069069064211
step 280, loss 0.21547274370639483
step 281, loss 0.214406179603776
step 282, loss 0.20131174151614964
step 283, loss 0.20399468175633842
step 284, loss 0.2032092305904397
step 285, loss 0.19735722329191285
step 286, loss 0.19479048776005434
step 287, loss 0.19087319994605834
step 288, loss 0.18684158406827378
step 289, loss 0.1777111390129345
step 290, loss 0.17657465328833022
step 291, loss 0.17720477065498136
step 292, loss 0.18102681441057775
step 293, loss 0.1787649956609224
step 294, loss 0.17393889283526673
step 295, loss 0.1745268099491781
step 296, loss 0.1753655591295647
step 297, loss 0.17051527965246027
step 298, loss 0.17442131997506366
step 299, loss 0.18029990012670052
step 300, loss 0.18405317856572115
step 301, loss 0.18319431627126373
step 302, loss 0.181645219185935
step 303, loss 0.17790295600204456
step 304, loss 0.17297546046354284
step 305, loss 0.18444104472438613
step 306, loss 0.19960565995848287
step 307, loss 0.20662383107849458
step 308, loss 0.20482348831154554
step 309, loss 0.2105784544198899
step 310, loss 0.21139455844603675
step 311, loss 0.21466039129772213
step 312, loss 0.21059733636985803
step 313, loss 0.21266357011625694
step 314, loss 0.21123379832830602
step 315, loss 0.2107734295695416
step 316, loss 0.2066763710650258
step 317, loss 0.21113689288548704
step 318, loss 0.2070077169989235
step 319, loss 0.20240263721835794
step 320, loss 0.20241347624205513
step 321, loss 0.20222170358904867
step 322, loss 0.2049556005538285
step 323, loss 0.2037332321888906
step 324, loss 0.20304887882054173
step 325, loss 0.19510373003346018
step 326, loss 0.19399780804272557
step 327, loss 0.20188787973841488
step 328, loss 0.21556643006432466
step 329, loss 0.21363050660993232
step 330, loss 0.20825890828525043
step 331, loss 0.20736534562130288
step 332, loss 0.2095808207966642
step 333, loss 0.20921273559133022
step 334, loss 0.21004524108588526
step 335, loss 0.20957554379242507
step 336, loss 0.20790647267524465
step 337, loss 0.20947703688643035
step 338, loss 0.20021185251446058
step 339, loss 0.1973600936446025
step 340, loss 0.19542416356624073
step 341, loss 0.18679670920331096
step 342, loss 0.179520641389717
step 343, loss 0.18046621795585394
step 344, loss 0.1820846183546541
step 345, loss 0.17810415477587205
step 346, loss 0.18039693460792383
step 347, loss 0.17761808358964398
step 348, loss 0.18587544611099727
step 349, loss 0.17513378382626207
step 350, loss 0.1735193126282367
step 351, loss 0.18454261358510907
step 352, loss 0.19004274370609034
step 353, loss 0.18637964393798986
step 354, loss 0.19081592648718787
step 355, loss 0.1891554810657564
step 356, loss 0.1918917031336841
step 357, loss 0.19081115853032624
step 358, loss 0.1860180553606852
step 359, loss 0.18912689150676465
step 360, loss 0.18839353705619577
step 361, loss 0.1954757754669321
step 362, loss 0.190027158081448
step 363, loss 0.19550886954657665
step 364, loss 0.1917774427454987
step 365, loss 0.1898037924040543
step 366, loss 0.1961732924284804
step 367, loss 0.19584429892619862
step 368, loss 0.19496014087844266
step 369, loss 0.19310628059013224
step 370, loss 0.1884585173353869
step 371, loss 0.18613978786098823
step 372, loss 0.19264737870837328
step 373, loss 0.19441861456523907
step 374, loss 0.18742295619151508
step 375, loss 0.18921480640442534
step 376, loss 0.19139532802705198
step 377, loss 0.20175264380756822
step 378, loss 0.19462033750757998
step 379, loss 0.19221393891106928
step 380, loss 0.1889850508683701
step 381, loss 0.1828726257247132
step 382, loss 0.1828612216140987
step 383, loss 0.1831674526178385
step 384, loss 0.1726519480386566
step 385, loss 0.1692374704813234
step 386, loss 0.1662169583322351
step 387, loss 0.16252151468530995
step 388, loss 0.16554295127811167
step 389, loss 0.16803587918182133
step 390, loss 0.17483479927211928
step 391, loss 0.17869552210178907
step 392, loss 0.19095437438971044
step 393, loss 0.20363794903474666
step 394, loss 0.2010272977398421
step 395, loss 0.19949630239426366
step 396, loss 0.1980943635596568
step 397, loss 0.20023568619731674
step 398, loss 0.21131290032962213
step 399, loss 0.20396137566416786
step 400, loss 0.2099380612169146
step 401, loss 0.2084569993431365
step 402, loss 0.20289832170143682
step 403, loss 0.19597928656937144
step 404, loss 0.1965428361338508
step 405, loss 0.1940934391953467
step 406, loss 0.19718682904284465
step 407, loss 0.1950440434149617
step 408, loss 0.20022811241731472
step 409, loss 0.20079539639757957
step 410, loss 0.19456293812102277
step 411, loss 0.19171541301047385
step 412, loss 0.19608608663948401
step 413, loss 0.1908258507925751
step 414, loss 0.19219936820374273
step 415, loss 0.20485617720341393
step 416, loss 0.20457828345825413
step 417, loss 0.2067769047879887
step 418, loss 0.20310095643374734
step 419, loss 0.2010272505465753
step 420, loss 0.19705719762297935
step 421, loss 0.18890062731432142
step 422, loss 0.19085701789194842
step 423, loss 0.19378308045030684
step 424, loss 0.19237253892863737
step 425, loss 0.19118777807156695
step 426, loss 0.19794086422563006
step 427, loss 0.19473939960635075
step 428, loss 0.18936441831680867
step 429, loss 0.18724743121468485
step 430, loss 0.18503319406750912
step 431, loss 0.17811791838028831
step 432, loss 0.1723619631602061
step 433, loss 0.16679237917128434
step 434, loss 0.17807105155345704
step 435, loss 0.18565800760588264
step 436, loss 0.1827791807746996
step 437, loss 0.18499899903203038
step 438, loss 0.18717491179047516
step 439, loss 0.184014761889027
step 440, loss 0.18796786765221932
step 441, loss 0.18829463511673372
step 442, loss 0.1915576644834974
step 443, loss 0.18994323653850842
step 444, loss 0.18763026663250226
step 445, loss 0.19158026786374896
step 446, loss 0.19817564676756724
step 447, loss 0.19398156664271712
step 448, loss 0.1933728533521255
step 449, loss 0.1914881358326936
step 450, loss 0.18799000589085796
step 451, loss 0.18546500004559618
step 452, loss 0.1807251456132221
step 453, loss 0.17836935812986085
step 454, loss 0.18182131494363715
step 455, loss 0.17878641049814734
step 456, loss 0.18793903017716868
step 457, loss 0.17849938176283775
step 458, loss 0.16562335582562868
step 459, loss 0.16670957558144853
step 460, loss 0.17280304300299043
step 461, loss 0.17057119638482413
step 462, loss 0.16469394040786933
step 463, loss 0.16610695754900914
step 464, loss 0.18289362045003782
step 465, loss 0.1888659833539171
step 466, loss 0.1863404353262761
step 467, loss 0.1845765417637031
step 468, loss 0.18240394495322712
step 469, loss 0.1817780596231914
step 470, loss 0.17977342714805872
step 471, loss 0.17590990850275282
step 472, loss 0.17658183445583753
step 473, loss 0.17306338074848923
step 474, loss 0.1733384265575934
step 475, loss 0.1787626565165039
step 476, loss 0.17595322018862214
step 477, loss 0.17094444113374155
step 478, loss 0.17300550231993556
step 479, loss 0.1720255919366511
step 480, loss 0.1746830440821736
step 481, loss 0.1766299960549911
step 482, loss 0.1792342028799272
step 483, loss 0.17035327286564855
step 484, loss 0.1740814903173764
step 485, loss 0.17911709476655005
step 486, loss 0.16773011650870992
step 487, loss 0.16751751929131822
step 488, loss 0.16760149564988325
step 489, loss 0.16439966976624945
step 490, loss 0.17845015484078722
step 491, loss 0.18144984624967572
step 492, loss 0.18978092892931936
step 493, loss 0.18572949013680554
step 494, loss 0.19035862363788786
step 495, loss 0.19658408293795557
step 496, loss 0.2003114169508693
step 497, loss 0.1987766515317986
step 498, loss 0.2011820874604669
step 499, loss 0.199729974746086
step 500, loss 0.19951501549426717
step 501, loss 0.19592209662029747
step 502, loss 0.19274603132930046
step 503, loss 0.19848404351943716
step 504, loss 0.19318854085273132
step 505, loss 0.18981044833362032
step 506, loss 0.1916926563784474
step 507, loss 0.19453319558545892
step 508, loss 0.20318889900188097
step 509, loss 0.2002033035529296
step 510, loss 0.19554880028122426
step 511, loss 0.1972037100656667
step 512, loss 0.19342602883552062
step 513, loss 0.19288191284037723
step 514, loss 0.19138345347610497
step 515, loss 0.18570478016228126
step 516, loss 0.19260013032636625
step 517, loss 0.19367885823859202
step 518, loss 0.197436246894122
step 519, loss 0.19293240036575868
step 520, loss 0.18864933096774406
step 521, loss 0.18352155634827602
step 522, loss 0.19254468157053461
step 523, loss 0.19230188078427737
step 524, loss 0.19480811190674685
step 525, loss 0.1932144549376069
step 526, loss 0.19409414114531562
step 527, loss 0.19645213915684837
step 528, loss 0.1917575225273879
step 529, loss 0.1877798177337746
step 530, loss 0.18245277889395659
step 531, loss 0.18112506348930216
step 532, loss 0.18214896958210244
step 533, loss 0.18508851654355085
step 534, loss 0.17807175034604392
step 535, loss 0.1711626453488045
step 536, loss 0.1752465087135708
step 537, loss 0.1771411122047969
step 538, loss 0.17735516171134127
step 539, loss 0.18549361652561977
step 540, loss 0.18255391263749263
step 541, loss 0.18416092881965096
step 542, loss 0.18824316641158573
step 543, loss 0.18994960856854956
step 544, loss 0.19037753497737683
step 545, loss 0.19257512380341923
step 546, loss 0.18976465782219382
step 547, loss 0.18847808915997338
step 548, loss 0.18553676615916007
step 549, loss 0.19100599507178945
step 550, loss 0.18912131207900718
step 551, loss 0.19718298272237905
step 552, loss 0.2107583191032326
step 553, loss 0.20598781460837565
step 554, loss 0.2115652592866067
step 555, loss 0.20997953401998676
step 556, loss 0.2091666905909419
step 557, loss 0.2119425444748676
step 558, loss 0.21024263730168427
step 559, loss 0.2133288785563715
step 560, loss 0.20873213154794049
step 561, loss 0.20895801641989892
step 562, loss 0.21221930079265663
step 563, loss 0.21350294911209552
step 564, loss 0.22387699690470525
step 565, loss 0.2205029673010954
step 566, loss 0.22420174300350387
step 567, loss 0.22006569283912458
step 568, loss 0.21831284741499912
step 569, loss 0.2182680512661239
step 570, loss 0.2173852066869587
step 571, loss 0.21674140608385656
step 572, loss 0.21533270015784015
step 573, loss 0.21791683585466065
step 574, loss 0.21765945808012294
step 575, loss 0.218645238482228
step 576, loss 0.21360087716871895
step 577, loss 0.21211477062965392
step 578, loss 0.21701199956415557
step 579, loss 0.21581809801767882
step 580, loss 0.21678127571562483
step 581, loss 0.217368706088837
step 582, loss 0.2120071432187343
step 583, loss 0.20938924084849814
step 584, loss 0.21293607620073252
step 585, loss 0.21455659211581554
step 586, loss 0.21216760493134507
step 587, loss 0.2098786644650851
step 588, loss 0.21675585024178215
step 589, loss 0.21474905293542315
step 590, loss 0.21277552975438388
step 591, loss 0.2156398323168369
step 592, loss 0.21050983908683168
step 593, loss 0.21101761081436374
step 594, loss 0.21037054555373577
step 595, loss 0.20818622407398094
step 596, loss 0.21065615263952137
step 597, loss 0.2105509532753228
step 598, loss 0.21029907553764574
step 599, loss 0.20853933324848764
step 600, loss 0.20299235102923352
step 601, loss 0.20713773325733817
step 602, loss 0.20244090517448612
step 603, loss 0.19810363137800005
step 604, loss 0.19901214376758197
step 605, loss 0.19537361117306942
step 606, loss 0.19434964792821044
step 607, loss 0.20505453768575105
step 608, loss 0.21402036508802097
step 609, loss 0.22737268830135632
step 610, loss 0.23500316642041655
step 611, loss 0.23203436555548596
step 612, loss 0.23367005457357246
step 613, loss 0.2274939212489934
step 614, loss 0.232168772216631
step 615, loss 0.22768046265482278
step 616, loss 0.2234446016458217
step 617, loss 0.21083737008341047
step 618, loss 0.21092498832256698
step 619, loss 0.21284642994383965
step 620, loss 0.21101170492154356
step 621, loss 0.19877047206743356
step 622, loss 0.19345761417553242
step 623, loss 0.20384816598181799
step 624, loss 0.1995419392402608
step 625, loss 0.19763084764024366
step 626, loss 0.19745073033637478
step 627, loss 0.19727214258849626
step 628, loss 0.19424529446905855
step 629, loss 0.19603469139706498
step 630, loss 0.1927308991525001
step 631, loss 0.1904698823368633
step 632, loss 0.1787087796160058
step 633, loss 0.18057308447615583
step 634, loss 0.17133291753163588
step 635, loss 0.16255202912119615
step 636, loss 0.16237410178328385
step 637, loss 0.17807446662078646
step 638, loss 0.17992771485588266
step 639, loss 0.18635159420199376
step 640, loss 0.19148488957190976
step 641, loss 0.19450242774341522
step 642, loss 0.19066168180096763
step 643, loss 0.19456663707782582
step 644, loss 0.18962214571139
step 645, loss 0.1860436351469229
step 646, loss 0.18219115299323832
step 647, loss 0.18292937543099794
step 648, loss 0.1813552784869582
step 649, loss 0.177583577449576
step 650, loss 0.17697408099364276
step 651, loss 0.18078086941889854
step 652, loss 0.1783508584152335
step 653, loss 0.17872431652998988
step 654, loss 0.17964174697330057
step 655, loss 0.18097387864765935
step 656, loss 0.18233118606726004
step 657, loss 0.18624423730182357
step 658, loss 0.19624036658830382
step 659, loss 0.1944044704052234
step 660, loss 0.19560827238670805
step 661, loss 0.19108313402514296
step 662, loss 0.18751358760279987
step 663, loss 0.18389004116847435
step 664, loss 0.18187752496237444
step 665, loss 0.18359748540253837
step 666, loss 0.1802667872720784
step 667, loss 0.1768611532402479
step 668, loss 0.17459100442699582
step 669, loss 0.16811886093829861
step 670, loss 0.1708143204016816
step 671, loss 0.16650642152696832
step 672, loss 0.16817316588225947
step 673, loss 0.1716651187222867
step 674, loss 0.17232302271261832
step 675, loss 0.1772518242263945
step 676, loss 0.17806602134086058
step 677, loss 0.1790014604965809
step 678, loss 0.18386175634622243
step 679, loss 0.18726326437735258
step 680, loss 0.1838932193393442
step 681, loss 0.1768514952428579
step 682, loss 0.17795165849036929
step 683, loss 0.17053818081891797
step 684, loss 0.17048265822299954
step 685, loss 0.17732181806178662
step 686, loss 0.17841804616580997
step 687, loss 0.17200205260155135
step 688, loss 0.1724690783051032
step 689, loss 0.16863016081101104
step 690, loss 0.1735962804458714
step 691, loss 0.17059237447102454
step 692, loss 0.1622641699318849
step 693, loss 0.15521618725104
step 694, loss 0.1514181263855952
step 695, loss 0.1514996797691457
step 696, loss 0.15001097269511274
step 697, loss 0.14241047305753277
step 698, loss 0.15105074736079974
step 699, loss 0.150681322150839
step 700, loss 0.14930604726083213
step 701, loss 0.1467922709584874
step 702, loss 0.14552832384711284
step 703, loss 0.1407008460742752
step 704, loss 0.1449468277319539
step 705, loss 0.15085982612588422
step 706, loss 0.15209115742282645
step 707, loss 0.15312674521180905
step 708, loss 0.14691120575761424
step 709, loss 0.1528425472160783
step 710, loss 0.1602607748371905
step 711, loss 0.15924088938199396
step 712, loss 0.16119693472829089
step 713, loss 0.164967889382064
step 714, loss 0.16384024601604313
step 715, loss 0.15937887666904124
step 716, loss 0.165102427050023
step 717, loss 0.16255961940695232
step 718, loss 0.16268442052015114
step 719, loss 0.16597894707985325
step 720, loss 0.1729888786047781
step 721, loss 0.17514324508637946
step 722, loss 0.18007652451870526
step 723, loss 0.17725273660073596
step 724, loss 0.17802342198416518
step 725, loss 0.17771928240768547
step 726, loss 0.18321152684014236
step 727, loss 0.19078727802861806
step 728, loss 0.18616058446075687
step 729, loss 0.18219709709679635
step 730, loss 0.1746371133511861
step 731, loss 0.17295715749731064
step 732, loss 0.17340904212418556
step 733, loss 0.1714033341684046
step 734, loss 0.1783865680943223
step 735, loss 0.18156381165834895
step 736, loss 0.18936862095462648
step 737, loss 0.18892979214430483
step 738, loss 0.1913687117979583
step 739, loss 0.19840168906024014
step 740, loss 0.20146695929262862
step 741, loss 0.20262992075825179
step 742, loss 0.19549112938414015
step 743, loss 0.20051750918540356
step 744, loss 0.19835279029887615
step 745, loss 0.19634998269929022
step 746, loss 0.19437123174715218
step 747, loss 0.18511706741376083
step 748, loss 0.18721139417639399
step 749, loss 0.195926311491886
step 750, loss 0.1913286339154475
step 751, loss 0.19783840098178088
step 752, loss 0.1921681867676589
step 753, loss 0.19371915966012596
step 754, loss 0.18530903258685932
step 755, loss 0.19561317859975696
step 756, loss 0.192461239983632
step 757, loss 0.18257778676449699
step 758, loss 0.17832471542447306
step 759, loss 0.17408046674331573
step 760, loss 0.17486577676177514
step 761, loss 0.17108041596210444
step 762, loss 0.1729142953616063
step 763, loss 0.17612126377180343
step 764, loss 0.1737528524424594
step 765, loss 0.17513748541110408
step 766, loss 0.17964724631279994
step 767, loss 0.17237130640003342
step 768, loss 0.1685392737810605
step 769, loss 0.16304091785175742
step 770, loss 0.16794005787810512
step 771, loss 0.16774071386254574
step 772, loss 0.17359563378211929
step 773, loss 0.16537608132705456
step 774, loss 0.17410163962196143
step 775, loss 0.16969600215569883
step 776, loss 0.16286085750176685
step 777, loss 0.16984298561973135
step 778, loss 0.1655678278353461
step 779, loss 0.1591218100023253
step 780, loss 0.16904605502176134
step 781, loss 0.17567668474573955
step 782, loss 0.18353548750453352
step 783, loss 0.18614847307061996
step 784, loss 0.19243036816706519
step 785, loss 0.1896351481395089
step 786, loss 0.18188559158895523
step 787, loss 0.1803075654290984
step 788, loss 0.19349742975677878
step 789, loss 0.1975390632168576
step 790, loss 0.19962453417922185
step 791, loss 0.2014262801970106
step 792, loss 0.20080559938237624
step 793, loss 0.19935405393617353
step 794, loss 0.21231565004745426
step 795, loss 0.21319748574041697
step 796, loss 0.2052548403758708
step 797, loss 0.2043004162805292
step 798, loss 0.19971659580144402
step 799, loss 0.1931040626699309
step 800, loss 0.18933475094448748
step 801, loss 0.18376658032010101
step 802, loss 0.19668318929973336
step 803, loss 0.19357770773204944
step 804, loss 0.18745170914321643
step 805, loss 0.18649817600717694
step 806, loss 0.18613216067734853
step 807, loss 0.17847251476690318
step 808, loss 0.1796395994589789
step 809, loss 0.18205251699978678
step 810, loss 0.18244848465586813
step 811, loss 0.18427359744010968
step 812, loss 0.17808136583058778
step 813, loss 0.1818351960839815
step 814, loss 0.17969664037185792
step 815, loss 0.1721909226473381
step 816, loss 0.1780334038880059
step 817, loss 0.17559512019275925
step 818, loss 0.1712180306922135
step 819, loss 0.17126040730572378
step 820, loss 0.17616215116110417
step 821, loss 0.17274130373889482
step 822, loss 0.1633601418706263
step 823, loss 0.16828386171810195
step 824, loss 0.16520292774575085
step 825, loss 0.17425290539029656
step 826, loss 0.173307807393343
step 827, loss 0.1745243574507273
step 828, loss 0.17679061639254423
step 829, loss 0.19304880334089813
step 830, loss 0.20683378130034166
step 831, loss 0.21739077403994406
step 832, loss 0.22591025085614924
step 833, loss 0.2342274259153021
step 834, loss 0.23262463843432182
step 835, loss 0.22764639111406013
step 836, loss 0.22312030391734605
step 837, loss 0.21689634797133595
step 838, loss 0.21267451295695533
step 839, loss 0.21168617113925664
step 840, loss 0.2096441361710219
step 841, loss 0.2060585996572484
step 842, loss 0.20232505629041578
step 843, loss 0.20007941451292144
step 844, loss 0.19131573358137227
step 845, loss 0.19345808016322985
step 846, loss 0.1975201247965956
step 847, loss 0.19448155422529556
step 848, loss 0.2033058130102245
step 849, loss 0.19872638195963693
step 850, loss 0.1975336948950171
step 851, loss 0.1938990873026025
step 852, loss 0.1958818947011684
step 853, loss 0.19366061521182548
step 854, loss 0.19631050228425945
step 855, loss 0.21157150744809883
step 856, loss 0.21564711284113686
step 857, loss 0.2091809643936702
step 858, loss 0.20146087410740987
step 859, loss 0.20104918422722462
step 860, loss 0.20162837990305105
step 861, loss 0.20305677611989925
step 862, loss 0.1978686737361236
step 863, loss 0.19721478855693492
step 864, loss 0.2033045438177957
step 865, loss 0.20069602703281406
step 866, loss 0.19663769968058017
step 867, loss 0.19477669418786778
step 868, loss 0.19357896465898883
step 869, loss 0.19631179081357716
step 870, loss 0.20255566454193472
step 871, loss 0.19395778014893664
step 872, loss 0.19493690372677444
step 873, loss 0.20350840605352938
step 874, loss 0.202212723348033
step 875, loss 0.19749852769388995
